event,url,date,location,event_id,event_norm
UFC Fight Night: Alvarez vs. Poirier 2,http://ufcstats.com/event-details/322a56923b396b4d,"July 28, 2018","Calgary, Alberta, Canada",446,ufc fight night: alvarez vs. poirier 2
UFC Fight Night: Shogun vs. Smith,http://ufcstats.com/event-details/4f732e58ed907eff,"July 22, 2018","Hamburg, Hamburg, Germany",445,ufc fight night: shogun vs. smith
UFC Fight Night: Dos Santos vs. Ivanov,http://ufcstats.com/event-details/b45d6b73f4ca4467,"July 14, 2018","Boise, Idaho, USA",444,ufc fight night: dos santos vs. ivanov
UFC 226: Miocic vs. Cormier,http://ufcstats.com/event-details/35585d970300d45a,"July 07, 2018","Las Vegas, Nevada, USA",443,ufc 226: miocic vs. cormier
The Ultimate Fighter: Undefeated Finale,http://ufcstats.com/event-details/8215e4fe24e8e81b,"July 06, 2018","Las Vegas, Nevada, USA",442,the ultimate fighter: undefeated finale
UFC Fight Night: Cowboy vs. Edwards,http://ufcstats.com/event-details/ac5f67109accb482,"June 23, 2018","Kallang, Singapore",441,ufc fight night: cowboy vs. edwards
UFC 225: Whittaker vs. Romero 2,http://ufcstats.com/event-details/2eae41f61776c60f,"June 09, 2018","Chicago, Illinois, USA",440,ufc 225: whittaker vs. romero 2
UFC Fight Night: Rivera vs. Moraes,http://ufcstats.com/event-details/d29b5c4f22c6357d,"June 01, 2018","Utica, New York, USA",439,ufc fight night: rivera vs. moraes
UFC Fight Night: Thompson vs. Till,http://ufcstats.com/event-details/f5990c11974d8e9c,"May 27, 2018","Liverpool, England, United Kingdom",438,ufc fight night: thompson vs. till
UFC Fight Night: Maia vs. Usman,http://ufcstats.com/event-details/3144121470023e9a,"May 19, 2018","Santiago, Chile",437,ufc fight night: maia vs. usman
UFC 224: Nunes vs. Pennington,http://ufcstats.com/event-details/67ec58d7cf599835,"May 12, 2018","Rio de Janeiro, Rio de Janeiro, Brazil",436,ufc 224: nunes vs. pennington
UFC Fight Night: Barboza vs. Lee,http://ufcstats.com/event-details/ad99fa5325519169,"April 21, 2018","Atlantic City, New Jersey, USA",435,ufc fight night: barboza vs. lee
UFC Fight Night: Poirier vs. Gaethje,http://ufcstats.com/event-details/620be7e0712d431b,"April 14, 2018","Glendale, Arizona, USA",434,ufc fight night: poirier vs. gaethje
UFC 223: Khabib vs. Iaquinta,http://ufcstats.com/event-details/49e7e05f902479ca,"April 07, 2018","Brooklyn, New York, USA",433,ufc 223: khabib vs. iaquinta
UFC Fight Night: Werdum vs. Volkov,http://ufcstats.com/event-details/eed2b71d77d95416,"March 17, 2018","London, England, United Kingdom",432,ufc fight night: werdum vs. volkov
UFC 222: Cyborg vs. Kunitskaya,http://ufcstats.com/event-details/7929be8290289a47,"March 03, 2018","Las Vegas, Nevada, USA",431,ufc 222: cyborg vs. kunitskaya
UFC Fight Night: Emmett vs. Stephens,http://ufcstats.com/event-details/daa89f01e1c0f42a,"February 24, 2018","Orlando, Florida, USA",430,ufc fight night: emmett vs. stephens
UFC Fight Night: Cerrone vs. Medeiros,http://ufcstats.com/event-details/d181689653115b6a,"February 18, 2018","Austin, Texas, USA",429,ufc fight night: cerrone vs. medeiros
UFC 221: Romero vs. Rockhold,http://ufcstats.com/event-details/15515e797aedc137,"February 10, 2018","Perth, Western Australia, Australia",428,ufc 221: romero vs. rockhold
UFC Fight Night: Machida vs. Anders,http://ufcstats.com/event-details/7cf20446453f852b,"February 03, 2018","Belem, Para, Brazil",427,ufc fight night: machida vs. anders
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,"January 27, 2018","Charlotte, North Carolina, USA",426,ufc fight night: jacare vs. brunson 2
UFC 220: Miocic vs. Ngannou,http://ufcstats.com/event-details/02177caefe7c07d4,"January 20, 2018","Boston, Massachusetts, USA",425,ufc 220: miocic vs. ngannou
UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/event-details/fc1868f56d3036eb,"January 14, 2018","St. Louis, Missouri, USA",424,ufc fight night: stephens vs. choi
UFC 219: Cyborg vs. Holm,http://ufcstats.com/event-details/04076783ca83d6ae,"December 30, 2017","Las Vegas, Nevada, USA",423,ufc 219: cyborg vs. holm
UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/event-details/eaa0a728cc91ef60,"December 16, 2017","Winnipeg, Manitoba, Canada",422,ufc fight night: lawler vs. dos anjos
UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/event-details/bcd124bcd3d5be46,"December 09, 2017","Fresno, California, USA",421,ufc fight night: swanson vs. ortega
UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/event-details/9e30f69cc0869301,"December 02, 2017","Detroit, Michigan, USA",420,ufc 218: holloway vs. aldo 2
The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/event-details/30e8b4505f5ccf92,"December 01, 2017","Las Vegas, Nevada, USA",419,the ultimate fighter: a new world champion finale
UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/event-details/e7bc606d269896aa,"November 25, 2017","Shanghai, Hebei, China",418,ufc fight night: bisping vs. gastelum
UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/event-details/caced97768818230,"November 18, 2017","Sydney, New South Wales, Australia",417,ufc fight night: werdum vs. tybura
UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/event-details/d856a0080ac09ed7,"November 11, 2017","Norfolk, Virginia, USA",416,ufc fight night: poirier vs. pettis
UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/event-details/a25b71fe5e31fa97,"November 04, 2017","New York City, New York, USA",415,ufc 217: bisping vs. st-pierre
UFC Fight Night: Brunson vs. Machida,http://ufcstats.com/event-details/a7724f51e32e763e,"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",414,ufc fight night: brunson vs. machida
UFC Fight Night: Cerrone vs. Till,http://ufcstats.com/event-details/d6b68eaf4b68b160,"October 21, 2017","Gdansk, Poland",413,ufc fight night: cerrone vs. till
UFC 216: Ferguson vs. Lee,http://ufcstats.com/event-details/cc5834a495d1ea08,"October 07, 2017","Las Vegas, Nevada, USA",412,ufc 216: ferguson vs. lee
UFC Fight Night: Saint Preux vs. Okami,http://ufcstats.com/event-details/9211aae062b799d6,"September 22, 2017","Saitama, Saitama, Japan",411,ufc fight night: saint preux vs. okami
UFC Fight Night: Rockhold vs. Branch,http://ufcstats.com/event-details/1979c80150f630c4,"September 16, 2017","Pittsburgh, Pennsylvania, USA",410,ufc fight night: rockhold vs. branch
UFC 215: Nunes vs Shevchenko 2,http://ufcstats.com/event-details/d86e913c548c07c2,"September 09, 2017","Edmonton, Alberta, Canada",409,ufc 215: nunes vs shevchenko 2
UFC Fight Night: Volkov vs. Struve,http://ufcstats.com/event-details/a3244e3238541482,"September 02, 2017","Rotterdam, Zuid-Holland, Netherlands",408,ufc fight night: volkov vs. struve
UFC Fight Night: Pettis vs. Moreno,http://ufcstats.com/event-details/f4a031ac205ac580,"August 05, 2017","Mexico City, Distrito Federal, Mexico",407,ufc fight night: pettis vs. moreno
UFC 214: Cormier vs. Jones 2,http://ufcstats.com/event-details/ff9578cdbfabd323,"July 29, 2017","Anaheim, California, USA",406,ufc 214: cormier vs. jones 2
UFC Fight Night: Weidman vs. Gastelum,http://ufcstats.com/event-details/9f3d6ddef3d3cccc,"July 22, 2017","Uniondale, New York, USA",405,ufc fight night: weidman vs. gastelum
UFC Fight Night: Nelson vs. Ponzinibbio,http://ufcstats.com/event-details/d7907a9a968e4d29,"July 16, 2017","Glasgow, Scotland, United Kingdom",404,ufc fight night: nelson vs. ponzinibbio
UFC 213: Romero vs. Whittaker,http://ufcstats.com/event-details/686cccbf1a4de453,"July 08, 2017","Las Vegas, Nevada, USA",403,ufc 213: romero vs. whittaker
The Ultimate Fighter: Redemption Finale,http://ufcstats.com/event-details/23bd78c3f89bdb54,"July 07, 2017","Las Vegas, Nevada, USA",402,the ultimate fighter: redemption finale
UFC Fight Night: Chiesa vs. Lee,http://ufcstats.com/event-details/99bf06f20491cb54,"June 25, 2017","Oklahoma City, Oklahoma, USA",401,ufc fight night: chiesa vs. lee
UFC Fight Night: Holm vs. Correia,http://ufcstats.com/event-details/353de740bb6c7e75,"June 17, 2017","Kallang, Singapore",400,ufc fight night: holm vs. correia
UFC Fight Night: Lewis vs. Hunt,http://ufcstats.com/event-details/90e7447d8b7f3f35,"June 10, 2017","Auckland, New Zealand",399,ufc fight night: lewis vs. hunt
UFC 212: Aldo vs. Holloway,http://ufcstats.com/event-details/1507214bbc7a79e2,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",398,ufc 212: aldo vs. holloway
UFC Fight Night: Gustafsson vs. Teixeira,http://ufcstats.com/event-details/1c7cce2f5c17160d,"May 28, 2017","Stockholm, Sweden",397,ufc fight night: gustafsson vs. teixeira
UFC 211: Miocic vs. Dos Santos,http://ufcstats.com/event-details/5df10509264586e5,"May 13, 2017","Dallas, Texas, USA",396,ufc 211: miocic vs. dos santos
UFC Fight Night: Swanson vs. Lobov,http://ufcstats.com/event-details/bc7f7f0ba3db74d2,"April 22, 2017","Nashville, Tennessee, USA",395,ufc fight night: swanson vs. lobov
UFC on FOX: Johnson vs. Reis,http://ufcstats.com/event-details/ed069a95aaaf4f56,"April 15, 2017","Kansas City, Missouri, USA",394,ufc on fox: johnson vs. reis
UFC 210: Cormier vs. Johnson 2,http://ufcstats.com/event-details/e7bfdb5e0112891e,"April 08, 2017","Buffalo, New York, USA",393,ufc 210: cormier vs. johnson 2
UFC Fight Night: Manuwa vs. Anderson,http://ufcstats.com/event-details/c0231720fe516994,"March 18, 2017","London, England, United Kingdom",392,ufc fight night: manuwa vs. anderson
UFC Fight Night: Belfort vs. Gastelum,http://ufcstats.com/event-details/47b7e4e60813b7b2,"March 11, 2017","Fortaleza, Ceara, Brazil",391,ufc fight night: belfort vs. gastelum
UFC 209: Woodley vs. Thompson 2,http://ufcstats.com/event-details/20e403a1acfef130,"March 04, 2017","Las Vegas, Nevada, USA",390,ufc 209: woodley vs. thompson 2
UFC Fight Night: Lewis vs. Browne,http://ufcstats.com/event-details/b4ad3a06ee4d660c,"February 19, 2017","Halifax, Nova Scotia, Canada",389,ufc fight night: lewis vs. browne
UFC 208: Holm vs. De Randamie,http://ufcstats.com/event-details/865aa315ea62c511,"February 11, 2017","Brooklyn, New York, USA",388,ufc 208: holm vs. de randamie
UFC Fight Night: Bermudez vs. The Korean Zombie,http://ufcstats.com/event-details/6a8a06b542e1516d,"February 04, 2017","Houston, Texas, USA",387,ufc fight night: bermudez vs. the korean zombie
UFC on FOX: Shevchenko vs. Pena,http://ufcstats.com/event-details/4512e46543b960ad,"January 28, 2017","Denver, Colorado, USA",386,ufc on fox: shevchenko vs. pena
UFC Fight Night: Rodriguez vs. Penn,http://ufcstats.com/event-details/46effbd1135423c5,"January 15, 2017","Phoenix, Arizona, USA",385,ufc fight night: rodriguez vs. penn
UFC 207: Nunes vs. Rousey,http://ufcstats.com/event-details/4b2390cfaceb91d8,"December 30, 2016","Las Vegas, Nevada, USA",384,ufc 207: nunes vs. rousey
UFC on FOX: VanZant vs. Waterson,http://ufcstats.com/event-details/32541eb5d12668b4,"December 17, 2016","Sacramento, California, USA",383,ufc on fox: vanzant vs. waterson
UFC 206: Holloway vs. Pettis,http://ufcstats.com/event-details/6e3282d57d2467a0,"December 10, 2016","Toronto, Ontario, Canada",382,ufc 206: holloway vs. pettis
UFC Fight Night: Lewis vs. Abdurakhimov,http://ufcstats.com/event-details/7139cd2ae4bf6a29,"December 09, 2016","Albany, New York, USA",381,ufc fight night: lewis vs. abdurakhimov
The Ultimate Fighter: Tournament of Champions Finale,http://ufcstats.com/event-details/bd4389b71fdc0ce2,"December 03, 2016","Las Vegas, Nevada, USA",380,the ultimate fighter: tournament of champions finale
UFC Fight Night: Whittaker vs. Brunson,http://ufcstats.com/event-details/73e09f837f3b5ecc,"November 26, 2016","Melbourne, Victoria, Australia",379,ufc fight night: whittaker vs. brunson
UFC Fight Night: Bader vs. Nogueira,http://ufcstats.com/event-details/5cde96e0a1a1fffe,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",378,ufc fight night: bader vs. nogueira
UFC Fight Night: Mousasi vs. Hall 2,http://ufcstats.com/event-details/6810d8d2dd557cf9,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",377,ufc fight night: mousasi vs. hall 2
UFC 205: Alvarez vs McGregor,http://ufcstats.com/event-details/4956f60b7fa57c1a,"November 12, 2016","New York City, New York, USA",376,ufc 205: alvarez vs mcgregor
UFC Fight Night: Dos Anjos vs. Ferguson,http://ufcstats.com/event-details/6083f497c22cc075,"November 05, 2016","Mexico City, Distrito Federal, Mexico",375,ufc fight night: dos anjos vs. ferguson
UFC 204: Bisping vs. Henderson,http://ufcstats.com/event-details/154a6b3ffae264cd,"October 08, 2016","Manchester, England, United Kingdom",374,ufc 204: bisping vs. henderson
UFC Fight Night: Lineker vs. Dodson,http://ufcstats.com/event-details/a196332ee4aa8a82,"October 01, 2016","Portland, Oregon, USA",373,ufc fight night: lineker vs. dodson
UFC Fight Night: Cyborg vs. Lansberg,http://ufcstats.com/event-details/e18012194473e8b0,"September 24, 2016","Brasilia, Distrito Federal, Brazil",372,ufc fight night: cyborg vs. lansberg
UFC Fight Night: Poirier vs. Johnson,http://ufcstats.com/event-details/d6455cb4bee503ce,"September 17, 2016","Hidalgo, Texas, USA",371,ufc fight night: poirier vs. johnson
UFC 203: Miocic vs. Overeem,http://ufcstats.com/event-details/2dc7f1762dc0a7ef,"September 10, 2016","Cleveland, Ohio, USA",370,ufc 203: miocic vs. overeem
UFC Fight Night: Arlovski vs. Barnett,http://ufcstats.com/event-details/2b4faacc16d66898,"September 03, 2016","Hamburg, Hamburg, Germany",369,ufc fight night: arlovski vs. barnett
UFC on FOX: Maia vs. Condit,http://ufcstats.com/event-details/cfbccfed4e4796fe,"August 27, 2016","Vancouver, British Columbia, Canada",368,ufc on fox: maia vs. condit
UFC 202: Diaz vs. McGregor 2,http://ufcstats.com/event-details/5da4e8dc02e50ac0,"August 20, 2016","Las Vegas, Nevada, USA",367,ufc 202: diaz vs. mcgregor 2
UFC Fight Night: Rodriguez vs. Caceres,http://ufcstats.com/event-details/232c582f29f8f65e,"August 06, 2016","Salt Lake City, Utah, USA",366,ufc fight night: rodriguez vs. caceres
UFC 201: Lawler vs. Woodley,http://ufcstats.com/event-details/72cbe507644a587c,"July 30, 2016","Atlanta, Georgia, USA",365,ufc 201: lawler vs. woodley
UFC on FOX: Holm vs. Shevchenko,http://ufcstats.com/event-details/8a028648f3f0761d,"July 23, 2016","Chicago, Illinois, USA",364,ufc on fox: holm vs. shevchenko
UFC Fight Night: McDonald vs. Lineker,http://ufcstats.com/event-details/5e7a28f20927d64a,"July 13, 2016","Sioux Falls, South Dakota, USA",363,ufc fight night: mcdonald vs. lineker
UFC 200: Tate vs Nunes,http://ufcstats.com/event-details/aa5b4eff51bdc7d1,"July 09, 2016","Las Vegas, Nevada, USA",362,ufc 200: tate vs nunes
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,http://ufcstats.com/event-details/cd42bbe8887bba90,"July 08, 2016","Las Vegas, Nevada, USA",361,the ultimate fighter: team joanna vs. team cláudia finale
UFC Fight Night: Dos Anjos vs. Alvarez,http://ufcstats.com/event-details/45a2ba3ef82b9700,"July 07, 2016","Las Vegas, Nevada, USA",360,ufc fight night: dos anjos vs. alvarez
UFC Fight Night: MacDonald vs Thompson,http://ufcstats.com/event-details/563d051c9e769b24,"June 18, 2016","Ottawa, Ontario, Canada",359,ufc fight night: macdonald vs thompson
UFC 199: Rockhold vs. Bisping 2,http://ufcstats.com/event-details/ff4c3ab594c7fac3,"June 04, 2016","Los Angeles, California, USA",358,ufc 199: rockhold vs. bisping 2
UFC Fight Night: Almeida vs Garbrandt,http://ufcstats.com/event-details/990060b2a68a7b82,"May 29, 2016","Las Vegas, Nevada, USA",357,ufc fight night: almeida vs garbrandt
UFC 198: Werdum vs Miocic,http://ufcstats.com/event-details/a4bf17bd3ba3423b,"May 14, 2016","Curitiba, Parana, Brazil",356,ufc 198: werdum vs miocic
UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",355,ufc fight night: overeem vs arlovski
UFC 197: Jones vs Saint Preux,http://ufcstats.com/event-details/3d481aa374c954a1,"April 23, 2016","Las Vegas, Nevada, USA",354,ufc 197: jones vs saint preux
UFC on FOX: Teixeira vs Evans,http://ufcstats.com/event-details/e7e970d508529bf3,"April 16, 2016","Tampa, Florida, USA",353,ufc on fox: teixeira vs evans
UFC Fight Night: Rothwell vs Dos Santos,http://ufcstats.com/event-details/4887e5bc4dbb73ff,"April 10, 2016","Zagreb, Croatia",352,ufc fight night: rothwell vs dos santos
UFC Fight Night: Hunt vs Mir,http://ufcstats.com/event-details/e60201cfab7d656d,"March 19, 2016","Brisbane, Queensland, Australia",351,ufc fight night: hunt vs mir
UFC 196: McGregor vs Diaz,http://ufcstats.com/event-details/db1f2ed63b54b9a7,"March 05, 2016","Las Vegas, Nevada, USA",350,ufc 196: mcgregor vs diaz
UFC Fight Night: Silva vs Bisping,http://ufcstats.com/event-details/39c568f8c579913e,"February 27, 2016","London, England, United Kingdom",349,ufc fight night: silva vs bisping
UFC Fight Night: Cowboy vs Cowboy,http://ufcstats.com/event-details/d56bb6dff2ae77eb,"February 21, 2016","Pittsburgh, Pennsylvania, USA",348,ufc fight night: cowboy vs cowboy
UFC Fight Night: Hendricks vs Thompson,http://ufcstats.com/event-details/de99da2c0d18d34a,"February 06, 2016","Las Vegas, Nevada, USA",347,ufc fight night: hendricks vs thompson
UFC on FOX: Johnson vs. Bader,http://ufcstats.com/event-details/b3fb8d2293e17a59,"January 30, 2016","Newark, New Jersey, USA",346,ufc on fox: johnson vs. bader
UFC Fight Night: Dillashaw vs Cruz,http://ufcstats.com/event-details/c6becb722706c7d8,"January 17, 2016","Boston, Massachusetts, USA",345,ufc fight night: dillashaw vs cruz
UFC 195: Lawler vs Condit,http://ufcstats.com/event-details/380e8b023290d091,"January 02, 2016","Las Vegas, Nevada, USA",344,ufc 195: lawler vs condit
UFC on FOX: Dos Anjos vs. Cowboy 2,http://ufcstats.com/event-details/80d918336163b80c,"December 19, 2015","Orlando, Florida, USA",343,ufc on fox: dos anjos vs. cowboy 2
UFC 194: Aldo vs McGregor,http://ufcstats.com/event-details/354808cf38d9d73c,"December 12, 2015","Las Vegas, Nevada, USA",342,ufc 194: aldo vs mcgregor
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,http://ufcstats.com/event-details/20fbff570c678e1c,"December 11, 2015","Las Vegas, Nevada, USA",341,the ultimate fighter: team mcgregor vs. team faber finale
UFC Fight Night: Namajunas vs. VanZant,http://ufcstats.com/event-details/dd39f1ca787a3d9d,"December 10, 2015","Las Vegas, Nevada, USA",340,ufc fight night: namajunas vs. vanzant
UFC Fight Night: Henderson vs Masvidal,http://ufcstats.com/event-details/4d636c3aa1105950,"November 28, 2015","Seoul, South Korea",339,ufc fight night: henderson vs masvidal
UFC Fight Night: Magny vs Gastelum,http://ufcstats.com/event-details/243b07fc65ccbb16,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",338,ufc fight night: magny vs gastelum
UFC 193: Rousey vs Holm,http://ufcstats.com/event-details/8d04923f2db59b7f,"November 14, 2015","Melbourne, Victoria, Australia",337,ufc 193: rousey vs holm
UFC Fight Night: Belfort vs Henderson 3,http://ufcstats.com/event-details/5345f86680378fc1,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",336,ufc fight night: belfort vs henderson 3
UFC Fight Night: Holohan vs Smolka,http://ufcstats.com/event-details/f3155a94ca420126,"October 24, 2015","Dublin, Leinster, Ireland",335,ufc fight night: holohan vs smolka
UFC 192: Cormier vs Gustafsson,http://ufcstats.com/event-details/119ebea97e914dcf,"October 03, 2015","Houston, Texas, USA",334,ufc 192: cormier vs gustafsson
UFC Fight Night: Barnett vs Nelson,http://ufcstats.com/event-details/a4dd5c9a75763295,"September 26, 2015","Saitama, Japan",333,ufc fight night: barnett vs nelson
UFC 191: Johnson vs Dodson 2,http://ufcstats.com/event-details/82f5c81f4e3c3eb5,"September 05, 2015","Las Vegas, Nevada, USA",332,ufc 191: johnson vs dodson 2
UFC Fight Night: Holloway vs Oliveira,http://ufcstats.com/event-details/2ce6541127b0e232,"August 23, 2015","Saskatoon, Saskatchewan, Canada",331,ufc fight night: holloway vs oliveira
UFC Fight Night: Teixeira vs Saint Preux,http://ufcstats.com/event-details/b71667c778b6d9e5,"August 08, 2015","Nashville, Tennessee, USA",330,ufc fight night: teixeira vs saint preux
UFC 190: Rousey vs Correia,http://ufcstats.com/event-details/a9c45a8b21eabadc,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",329,ufc 190: rousey vs correia
UFC on FOX: Dillashaw vs. Barao II,http://ufcstats.com/event-details/0c3838c8f7c620c2,"July 25, 2015","Chicago, Illinois, USA",328,ufc on fox: dillashaw vs. barao ii
UFC Fight Night: Bisping vs Leites,http://ufcstats.com/event-details/ef7fa30364cbe7f2,"July 18, 2015","Glasgow, Scotland, United Kingdom",327,ufc fight night: bisping vs leites
UFC Fight Night: Mir vs Duffee,http://ufcstats.com/event-details/36877f0e62b25b96,"July 15, 2015","San Diego, California, USA",326,ufc fight night: mir vs duffee
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,http://ufcstats.com/event-details/a890f9a791ed615d,"July 12, 2015","Las Vegas, Nevada, USA",325,the ultimate fighter: american top team vs. blackzilians finale
UFC 189: Mendes vs McGregor,http://ufcstats.com/event-details/3be081c29bf734d9,"July 11, 2015","Las Vegas, Nevada, USA",324,ufc 189: mendes vs mcgregor
UFC Fight Night: Machida vs Romero,http://ufcstats.com/event-details/86e388ed20761ad9,"June 27, 2015","Hollywood, Florida, USA",323,ufc fight night: machida vs romero
UFC Fight Night: Jedrzejczyk vs Penne,http://ufcstats.com/event-details/194fc025f9355db6,"June 20, 2015","Berlin, Berlin, Germany",322,ufc fight night: jedrzejczyk vs penne
UFC 188: Velasquez vs Werdum,http://ufcstats.com/event-details/a58114c6dd0add64,"June 13, 2015","Mexico City, Distrito Federal, Mexico",321,ufc 188: velasquez vs werdum
UFC Fight Night: Boetsch vs Henderson,http://ufcstats.com/event-details/06dc1a58663579d2,"June 06, 2015","New Orleans, Louisiana, USA",320,ufc fight night: boetsch vs henderson
UFC Fight Night: Condit vs Alves,http://ufcstats.com/event-details/aae0897825336b1a,"May 30, 2015","Goiania, Goias, Brazil",319,ufc fight night: condit vs alves
UFC 187: Johnson vs Cormier,http://ufcstats.com/event-details/4f7e290e71d60f87,"May 23, 2015","Las Vegas, Nevada, USA",318,ufc 187: johnson vs cormier
UFC Fight Night: Edgar vs Faber,http://ufcstats.com/event-details/b1605ea39fba6af6,"May 16, 2015","Manila, Philippines",317,ufc fight night: edgar vs faber
UFC Fight Night: Miocic vs Hunt,http://ufcstats.com/event-details/8a1b4330c7957961,"May 09, 2015","Adelaide, South Australia, Australia",316,ufc fight night: miocic vs hunt
UFC 186: Johnson vs Horiguchi,http://ufcstats.com/event-details/997b4f52f76a0b53,"April 25, 2015","Montreal, Quebec, Canada",315,ufc 186: johnson vs horiguchi
UFC on FOX: Machida vs Rockhold,http://ufcstats.com/event-details/bc7cf284c1c2f16e,"April 18, 2015","Newark, New Jersey, USA",314,ufc on fox: machida vs rockhold
UFC Fight Night: Gonzaga vs Cro Cop 2,http://ufcstats.com/event-details/5de61b03868035ff,"April 11, 2015","Krakow, Poland",313,ufc fight night: gonzaga vs cro cop 2
UFC Fight Night: Mendes vs Lamas,http://ufcstats.com/event-details/16d09e800ad7ec79,"April 04, 2015","Fairfax, Virginia, USA",312,ufc fight night: mendes vs lamas
UFC Fight Night: Maia vs LaFlare,http://ufcstats.com/event-details/fa534853eb195270,"March 21, 2015","Rio de Janeiro, Brazil",311,ufc fight night: maia vs laflare
UFC 185: Pettis vs Dos Anjos,http://ufcstats.com/event-details/f54200f1dfb9b5d4,"March 14, 2015","Dallas, Texas, USA",310,ufc 185: pettis vs dos anjos
UFC 184: Rousey vs Zingano,http://ufcstats.com/event-details/ad4e9055bf8cd04d,"February 28, 2015","Los Angeles, California, USA",309,ufc 184: rousey vs zingano
UFC Fight Night: Bigfoot vs Mir,http://ufcstats.com/event-details/0577808d22dfe79c,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",308,ufc fight night: bigfoot vs mir
UFC Fight Night: Henderson vs Thatch,http://ufcstats.com/event-details/f9c7fe2682af3802,"February 14, 2015","Broomfield, Colorado, USA",307,ufc fight night: henderson vs thatch
UFC 183: Silva vs Diaz,http://ufcstats.com/event-details/43563a32c3f10e95,"January 31, 2015","Las Vegas, Nevada, USA",306,ufc 183: silva vs diaz
UFC on FOX: Gustafsson vs Johnson,http://ufcstats.com/event-details/706404da0775dcbc,"January 24, 2015","Stockholm, Sweden",305,ufc on fox: gustafsson vs johnson
UFC Fight Night: McGregor vs Siver,http://ufcstats.com/event-details/f9aa6376ae16bfb4,"January 18, 2015","Boston, Massachusetts, USA",304,ufc fight night: mcgregor vs siver
UFC 182: Jones vs Cormier,http://ufcstats.com/event-details/a72d260b436924c4,"January 03, 2015","Las Vegas, Nevada, USA",303,ufc 182: jones vs cormier
UFC Fight Night: Machida vs Dollaway,http://ufcstats.com/event-details/4e5bbc4566049cbf,"December 20, 2014","Barueri, Sao Paulo, Brazil",302,ufc fight night: machida vs dollaway
UFC on FOX: Dos Santos vs Miocic,http://ufcstats.com/event-details/d4a12dfa4067742f,"December 13, 2014","Phoenix, Arizona, USA",301,ufc on fox: dos santos vs miocic
The Ultimate Fighter: A Champion Will Be Crowned Finale,http://ufcstats.com/event-details/222d6b547de2e035,"December 12, 2014","Las Vegas, Nevada, USA",300,the ultimate fighter: a champion will be crowned finale
UFC 181: Hendricks vs Lawler II,http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,"December 06, 2014","Las Vegas, Nevada, USA",299,ufc 181: hendricks vs lawler ii
UFC Fight Night: Edgar vs Swanson,http://ufcstats.com/event-details/155a02a8b4311057,"November 22, 2014","Austin, Texas, USA",298,ufc fight night: edgar vs swanson
UFC 180: Werdum vs Hunt,http://ufcstats.com/event-details/59851163aaf1aed8,"November 15, 2014","Mexico City, Distrito Federal, Mexico",297,ufc 180: werdum vs hunt
UFC Fight Night 56: Shogun vs Saint Preux,http://ufcstats.com/event-details/6ca68b636fbc1f18,"November 08, 2014","Uberlandia, Minas Gerais, Brazil",296,ufc fight night 56: shogun vs saint preux
UFC Fight Night: Rockhold vs Bisping,http://ufcstats.com/event-details/371a1c91b24dec2b,"November 07, 2014","Sydney, New South Wales, Australia",295,ufc fight night: rockhold vs bisping
UFC 179: Aldo vs Mendes 2,http://ufcstats.com/event-details/53f02bbc41d99432,"October 25, 2014","Rio de Janeiro, Brazil",294,ufc 179: aldo vs mendes 2
UFC Fight Night: MacDonald vs Saffiedine,http://ufcstats.com/event-details/0313bf497de9c470,"October 04, 2014","Halifax, Nova Scotia, Canada",293,ufc fight night: macdonald vs saffiedine
UFC Fight Night: Nelson vs Story,http://ufcstats.com/event-details/8dc4f34c1f50d00d,"October 04, 2014","Stockholm, Sweden",292,ufc fight night: nelson vs story
UFC 178: Johnson vs Cariaso,http://ufcstats.com/event-details/3bb030257966b022,"September 27, 2014","Las Vegas, Nevada, USA",291,ufc 178: johnson vs cariaso
UFC Fight Night: Hunt vs Nelson,http://ufcstats.com/event-details/2dea80c069847321,"September 20, 2014","Saitama, Japan",290,ufc fight night: hunt vs nelson
