event,url,date,location,event_id,event_norm
UFC Fight Night: Brunson vs. Holland,http://ufcstats.com/event-details/c36e1f4fa755ffb4,"March 20, 2021","Las Vegas, Nevada, USA",555,ufc fight night: brunson vs. holland
UFC Fight Night: Edwards vs. Muhammad,http://ufcstats.com/event-details/8c90c1563972e44d,"March 13, 2021","Las Vegas, Nevada, USA",554,ufc fight night: edwards vs. muhammad
UFC 259: Blachowicz vs. Adesanya,http://ufcstats.com/event-details/6e2b1d631832921d,"March 06, 2021","Las Vegas, Nevada, USA",553,ufc 259: blachowicz vs. adesanya
UFC Fight Night: Rozenstruik vs. Gane,http://ufcstats.com/event-details/81b57acd6975ac06,"February 27, 2021","Las Vegas, Nevada, USA",552,ufc fight night: rozenstruik vs. gane
UFC Fight Night: Blaydes vs. Lewis,http://ufcstats.com/event-details/bfe95ec546692b13,"February 20, 2021","Las Vegas, Nevada, USA",551,ufc fight night: blaydes vs. lewis
UFC 258: Usman vs. Burns,http://ufcstats.com/event-details/3f7c14c7eca7195d,"February 13, 2021","Las Vegas, Nevada, USA",550,ufc 258: usman vs. burns
UFC Fight Night: Overeem vs. Volkov,http://ufcstats.com/event-details/a1153013cb5f628f,"February 06, 2021","Las Vegas, Nevada, USA",549,ufc fight night: overeem vs. volkov
UFC 257: Poirier vs. McGregor,http://ufcstats.com/event-details/4304992c2acc187b,"January 23, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",548,ufc 257: poirier vs. mcgregor
UFC Fight Night: Chiesa vs. Magny,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",547,ufc fight night: chiesa vs. magny
UFC Fight Night: Holloway vs. Kattar,http://ufcstats.com/event-details/307064d3e0f036c2,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",546,ufc fight night: holloway vs. kattar
UFC Fight Night: Thompson vs. Neal,http://ufcstats.com/event-details/e49c2db95e572dc8,"December 19, 2020","Las Vegas, Nevada, USA",545,ufc fight night: thompson vs. neal
UFC 256: Figueiredo vs. Moreno,http://ufcstats.com/event-details/d0d43cb9b14f231c,"December 12, 2020","Las Vegas, Nevada, USA",544,ufc 256: figueiredo vs. moreno
UFC Fight Night: Hermansson vs. Vettori,http://ufcstats.com/event-details/398b440e73d55b8b,"December 05, 2020","Las Vegas, Nevada, USA",543,ufc fight night: hermansson vs. vettori
UFC Fight Night: Smith vs. Clark,http://ufcstats.com/event-details/992c82450d96f726,"November 28, 2020","Las Vegas, Nevada, USA",542,ufc fight night: smith vs. clark
UFC 255: Figueiredo vs. Perez,http://ufcstats.com/event-details/bbb15f301e4a490a,"November 21, 2020","Las Vegas, Nevada, USA",541,ufc 255: figueiredo vs. perez
UFC Fight Night: Felder vs. Dos Anjos,http://ufcstats.com/event-details/3bc27ec15facbcf3,"November 14, 2020","Las Vegas, Nevada, USA",540,ufc fight night: felder vs. dos anjos
UFC Fight Night: Santos vs. Teixeira,http://ufcstats.com/event-details/41dca66f9dadfc86,"November 07, 2020","Las Vegas, Nevada, USA",539,ufc fight night: santos vs. teixeira
UFC Fight Night: Hall vs. Silva,http://ufcstats.com/event-details/ad044be25c94dcfd,"October 31, 2020","Las Vegas, Nevada, USA",538,ufc fight night: hall vs. silva
UFC 254: Khabib vs. Gaethje,http://ufcstats.com/event-details/c3c38c86f5ab9b5c,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",537,ufc 254: khabib vs. gaethje
UFC Fight Night: Ortega vs. The Korean Zombie,http://ufcstats.com/event-details/d4f364dd076bb0e2,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",536,ufc fight night: ortega vs. the korean zombie
UFC Fight Night: Moraes vs. Sandhagen,http://ufcstats.com/event-details/fd4578cac86d75ca,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",535,ufc fight night: moraes vs. sandhagen
UFC Fight Night: Holm vs. Aldana,http://ufcstats.com/event-details/805ad1801eb26abb,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",534,ufc fight night: holm vs. aldana
UFC 253: Adesanya vs. Costa,http://ufcstats.com/event-details/e69c5ce12f4e762b,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",533,ufc 253: adesanya vs. costa
UFC Fight Night: Covington vs. Woodley,http://ufcstats.com/event-details/831b937811804dad,"September 19, 2020","Las Vegas, Nevada, USA",532,ufc fight night: covington vs. woodley
UFC Fight Night: Waterson vs. Hill,http://ufcstats.com/event-details/9c37681096c6f3a9,"September 12, 2020","Las Vegas, Nevada, USA",531,ufc fight night: waterson vs. hill
UFC Fight Night: Overeem vs. Sakai,http://ufcstats.com/event-details/542db012217ecb83,"September 05, 2020","Las Vegas, Nevada, USA",530,ufc fight night: overeem vs. sakai
UFC Fight Night: Smith vs. Rakic,http://ufcstats.com/event-details/e29cf523ebd155c5,"August 29, 2020","Las Vegas, Nevada, USA",529,ufc fight night: smith vs. rakic
UFC Fight Night: Munhoz vs. Edgar,http://ufcstats.com/event-details/af1e5c64b8663aa0,"August 22, 2020","Las Vegas, Nevada, USA",528,ufc fight night: munhoz vs. edgar
UFC 252: Miocic vs. Cormier 3,http://ufcstats.com/event-details/bda04c573563cc2e,"August 15, 2020","Las Vegas, Nevada, USA",527,ufc 252: miocic vs. cormier 3
UFC Fight Night: Lewis vs. Oleinik,http://ufcstats.com/event-details/7a82635ffa9b59fe,"August 08, 2020","Las Vegas, Nevada, USA",526,ufc fight night: lewis vs. oleinik
UFC Fight Night: Brunson vs. Shahbazyan,http://ufcstats.com/event-details/3746e21bb508391a,"August 01, 2020","Las Vegas, Nevada, USA",525,ufc fight night: brunson vs. shahbazyan
UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",524,ufc fight night: whittaker vs. till
UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",523,ufc fight night: figueiredo vs. benavidez 2
UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",522,ufc fight night: kattar vs. ige
UFC 251: Usman vs. Masvidal,http://ufcstats.com/event-details/dbd198f780286aca,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",521,ufc 251: usman vs. masvidal
UFC Fight Night: Poirier vs. Hooker,http://ufcstats.com/event-details/c32eab6c2119e989,"June 27, 2020","Las Vegas, Nevada, USA",520,ufc fight night: poirier vs. hooker
UFC Fight Night: Blaydes vs. Volkov,http://ufcstats.com/event-details/2eab7a6c8b0ed8cc,"June 20, 2020","Las Vegas, Nevada, USA",519,ufc fight night: blaydes vs. volkov
UFC Fight Night: Eye vs. Calvillo,http://ufcstats.com/event-details/1e13936d708bcff7,"June 13, 2020","Las Vegas, Nevada, USA",518,ufc fight night: eye vs. calvillo
UFC 250: Nunes vs. Spencer,http://ufcstats.com/event-details/4c12aa7ca246e7a4,"June 06, 2020","Las Vegas, Nevada, USA",517,ufc 250: nunes vs. spencer
UFC Fight Night: Woodley vs. Burns,http://ufcstats.com/event-details/14b9e0f2679a2205,"May 30, 2020","Las Vegas, Nevada, USA",516,ufc fight night: woodley vs. burns
UFC Fight Night: Overeem vs. Harris,http://ufcstats.com/event-details/dfb965c9824425db,"May 16, 2020","Jacksonville, Florida, USA",515,ufc fight night: overeem vs. harris
UFC Fight Night: Smith vs. Teixeira,http://ufcstats.com/event-details/5f8e00c27b7e7410,"May 13, 2020","Jacksonville, Florida, USA",514,ufc fight night: smith vs. teixeira
UFC 249: Ferguson vs. Gaethje,http://ufcstats.com/event-details/898337ef520fe4d3,"May 09, 2020","Jacksonville, Florida, USA",513,ufc 249: ferguson vs. gaethje
UFC Fight Night: Lee vs. Oliveira,http://ufcstats.com/event-details/53278852bcd91e11,"March 14, 2020","Brasilia, Distrito Federal, Brazil",512,ufc fight night: lee vs. oliveira
UFC 248: Adesanya vs. Romero,http://ufcstats.com/event-details/0b5b6876c2a4723f,"March 07, 2020","Las Vegas, Nevada, USA",511,ufc 248: adesanya vs. romero
UFC Fight Night: Benavidez vs. Figueiredo,http://ufcstats.com/event-details/fc9a9559a05f2704,"February 29, 2020","Norfolk, Virginia, USA",510,ufc fight night: benavidez vs. figueiredo
UFC Fight Night: Felder vs. Hooker,http://ufcstats.com/event-details/33b2f68ef95252e0,"February 22, 2020","Auckland, New Zealand",509,ufc fight night: felder vs. hooker
UFC Fight Night: Anderson vs. Blachowicz,http://ufcstats.com/event-details/5df17b3620145578,"February 15, 2020","Rio Rancho, New Mexico, USA",508,ufc fight night: anderson vs. blachowicz
