fighter_id,first,last,nickname,url
265,Raoni,Barcelos,,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
266,Daniel,Barez,,http://ufcstats.com/fighter-details/e8fe9c15d348e778
267,Danny,Barlow,LeftHand2God,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63
268,Luke,Barnatt,The Bigslow,http://ufcstats.com/fighter-details/172c2135e70f87b7
269,James,Barnes,Mooka,http://ufcstats.com/fighter-details/c06a5c95f1169c0b
270,Nick,Barnes,,http://ufcstats.com/fighter-details/78a5eea49638685d
271,Shonte,Barnes,Shyne,http://ufcstats.com/fighter-details/e575b6ff678c1aca
272,Josh,Barnett,The Warmaster,http://ufcstats.com/fighter-details/ad3f53c454cbbead
273,Chris,Barnett,Beastboy,http://ufcstats.com/fighter-details/7a5e8c94a86f9895
274,Chris,Barnhizer,,http://ufcstats.com/fighter-details/91e69a1c3c87325b
275,David,Baron,,http://ufcstats.com/fighter-details/80c0bed43da0e27b
276,Phil,Baroni,The New York Bad Ass,http://ufcstats.com/fighter-details/1652f3213655b935
277,Dan,Barrera,The Fireman,http://ufcstats.com/fighter-details/f12f979b657ab876
278,Carlos,Barreto,,http://ufcstats.com/fighter-details/a220be6d41d6f97d
279,Jose,Barreto,,http://ufcstats.com/fighter-details/c32eab6c2119e989
280,Peter,Barrett,Slippery,http://ufcstats.com/fighter-details/d21113c9ff3788ae
281,Marc-Andre,Barriault,Powerbar,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
282,David,Barrios,,http://ufcstats.com/fighter-details/e6015889f50075d2
283,Alexandre,Barros,Baixinho,http://ufcstats.com/fighter-details/8fd1f27e86661ede
284,Ricardo,Barros,,http://ufcstats.com/fighter-details/d26394fc0e8e880a
285,Francimar,Barroso,Bodao,http://ufcstats.com/fighter-details/b69f24c500d783e7
286,Pat,Barry,HD,http://ufcstats.com/fighter-details/658c3465581ae46b
287,Dean,Barry,The Sniper,http://ufcstats.com/fighter-details/a6f3d15cb84334bb
288,Enrique,Barzola,El Fuerte,http://ufcstats.com/fighter-details/be0b310a12eb80b4
289,Javid,Basharat,The Snow Leopard,http://ufcstats.com/fighter-details/bbab3baf66128ae2
290,Farid,Basharat,Ferocious,http://ufcstats.com/fighter-details/a09ed60aa67a3f67
291,Austin,Bashi,,http://ufcstats.com/fighter-details/d3f89fa685bd8420
