fight_id,fighter_id,round,kd,sig.str. %,td %,sub.att,rev.,ctrl,sig.str._landed,sig.str._attempted,total str._landed,total str._attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
7960,2340,round 2,0,41%,---,0,0,0:26,10,24,13,28,0,0,2,12,2,3,6,9,8,20,2,4,0,0
7960,2340,round 3,0,41%,---,0,0,0:08,14,34,14,35,0,0,4,16,3,7,7,11,14,31,0,3,0,0
7960,2340,round 4,0,68%,---,0,0,0:13,11,16,23,31,0,0,2,6,3,3,6,7,10,15,1,1,0,0
7960,2340,round 5,0,66%,100%,2,0,1:36,4,6,38,46,1,1,3,5,0,0,1,1,2,4,2,2,0,0
7959,1325,round 1,0,80%,100%,2,0,1:38,12,15,17,20,1,1,3,6,5,5,4,4,9,12,0,0,3,3
7959,1325,round 2,0,69%,33%,0,0,0:39,27,39,27,39,1,3,9,19,5,6,13,14,27,38,0,1,0,0
7959,1325,round 3,0,57%,---,0,0,1:23,4,7,4,7,0,0,2,5,0,0,2,2,4,7,0,0,0,0
7959,4194,round 1,0,71%,66%,0,0,1:34,10,14,12,18,2,3,2,5,7,7,1,2,9,13,1,1,0,0
7959,4194,round 2,0,53%,---,1,0,0:00,25,47,25,47,0,0,14,32,10,12,1,3,23,44,2,3,0,0
7959,4194,round 3,0,40%,100%,0,0,2:58,4,10,68,75,1,1,3,9,1,1,0,0,4,10,0,0,0,0
7958,2634,round 1,0,75%,100%,0,0,4:23,6,8,64,74,1,1,1,3,3,3,2,2,3,4,2,2,1,2
7958,2634,round 2,0,71%,100%,0,0,4:06,10,14,70,86,1,1,6,9,3,4,1,1,8,12,2,2,0,0
7958,2634,round 3,0,71%,---,0,0,0:04,10,14,13,17,0,0,7,11,3,3,0,0,6,10,1,1,3,3
7958,1467,round 1,0,28%,---,0,0,0:00,2,7,41,47,0,0,1,4,1,2,0,1,1,6,1,1,0,0
7958,1467,round 2,0,5%,---,1,0,0:02,1,18,46,65,0,0,1,16,0,1,0,1,1,18,0,0,0,0
7958,1467,round 3,0,50%,---,0,0,0:00,3,6,3,6,0,0,2,5,0,0,1,1,3,6,0,0,0,0
7957,2135,round 1,0,36%,---,0,0,0:23,9,25,11,29,0,0,2,11,4,10,3,4,6,20,3,5,0,0
7957,2135,round 2,0,40%,---,0,0,0:19,12,30,16,35,0,0,7,24,5,5,0,1,5,23,7,7,0,0
7957,2135,round 3,0,33%,---,0,0,0:00,4,12,5,13,0,0,4,12,0,0,0,0,4,12,0,0,0,0
7957,681,round 1,0,60%,50%,0,0,1:24,40,66,40,66,1,2,32,57,4,4,4,5,38,64,1,1,1,1
7957,681,round 2,0,79%,100%,0,0,3:00,23,29,26,32,2,2,15,21,5,5,3,3,18,24,3,3,2,2
7957,681,round 3,0,71%,100%,0,0,2:49,15,21,48,59,1,1,14,20,0,0,1,1,6,11,0,0,9,10
7956,3279,round 1,0,63%,---,0,0,0:00,48,76,53,82,0,0,38,64,8,10,2,2,47,73,1,3,0,0
7956,3279,round 2,0,84%,---,0,0,3:51,73,86,119,150,0,0,72,85,0,0,1,1,1,2,16,19,56,65
7956,3747,round 1,0,45%,0%,0,0,0:01,21,46,24,49,0,1,14,36,5,7,2,3,19,43,2,3,0,0
7956,3747,round 2,0,---,0%,0,0,0:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7955,2320,round 1,0,33%,---,1,0,0:14,2,6,2,6,0,0,1,4,0,0,1,2,2,6,0,0,0,0
7955,1441,round 1,0,55%,---,0,0,0:00,5,9,5,9,0,0,1,5,1,1,3,3,5,9,0,0,0,0
7954,1146,round 1,0,16%,100%,0,0,0:55,1,6,16,26,1,1,0,4,0,0,1,2,1,5,0,1,0,0
7954,1146,round 2,0,33%,100%,0,0,3:25,3,9,48,58,2,2,2,8,1,1,0,0,3,9,0,0,0,0
7954,1146,round 3,0,36%,50%,0,1,1:49,4,11,72,81,1,2,4,11,0,0,0,0,2,8,0,0,2,3
7954,3848,round 1,0,27%,100%,0,0,2:49,3,11,7,18,2,2,1,5,2,5,0,1,3,11,0,0,0,0
7954,3848,round 2,0,62%,33%,0,2,0:48,5,8,25,30,1,3,3,6,2,2,0,0,4,7,1,1,0,0
7954,3848,round 3,0,57%,100%,0,0,2:39,4,7,13,19,3,3,3,5,1,1,0,1,2,5,1,1,1,1
7953,484,round 1,0,46%,100%,0,0,0:40,21,45,29,56,2,2,11,32,9,12,1,1,19,42,2,3,0,0
7953,484,round 2,0,51%,0%,0,0,0:56,15,29,21,35,0,1,11,25,3,3,1,1,13,26,2,3,0,0
7953,484,round 3,0,64%,0%,0,0,0:10,24,37,30,44,0,2,10,22,10,11,4,4,17,28,7,9,0,0
7953,298,round 1,0,45%,0%,0,0,1:18,14,31,18,35,0,2,4,17,9,11,1,3,11,27,3,4,0,0
7953,298,round 2,0,53%,---,0,0,2:37,22,41,56,86,0,0,6,23,13,15,3,3,7,25,15,16,0,0
7953,298,round 3,0,55%,0%,0,0,3:30,21,38,35,54,0,4,10,24,9,12,2,2,9,24,12,14,0,0
7952,4259,round 1,1,50%,0%,0,0,2:10,13,26,20,36,0,1,8,20,5,6,0,0,9,13,0,2,4,11
7952,4259,round 2,0,30%,---,1,0,0:05,3,10,7,14,0,0,3,10,0,0,0,0,3,10,0,0,0,0
7952,133,round 1,0,47%,0%,0,0,0:41,11,23,12,29,0,4,8,20,3,3,0,0,3,10,7,12,1,1
7952,133,round 2,0,64%,0%,0,0,3:43,51,79,109,164,0,2,48,76,3,3,0,0,4,15,0,0,47,64
7951,1046,round 1,0,42%,66%,0,0,3:14,14,33,18,38,2,3,13,30,1,2,0,1,14,33,0,0,0,0
7951,1046,round 2,0,27%,0%,0,0,0:00,27,99,27,100,0,3,22,93,4,5,1,1,27,99,0,0,0,0
7951,1046,round 3,0,34%,0%,0,0,0:00,29,85,29,85,0,2,25,80,1,1,3,4,29,85,0,0,0,0
